H2H3encountersWins,3AllWins,3Wins,H2H3encountersLosses,3AllLosses,3Losses,H2H3encountersDraws,3AllDraws,3Draws,3FTGoals,3HTGoals,3Shots,3ShotsOnTarget,3Corners,3Fouls,3Yellows,3Reds,PtsDiff,result,BetResult
0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0,0.5,0.5,0.666666667,0.714285714,0.404255319,0.492957746,0.328125,0.4375,0.4,0.333333333,0.514348072,A,H
0.333333333,0.5,0.5,0.666666667,0.5,0.333333333,0,0.5,0.666666667,0.444444444,0.571428571,0.468085106,0.492957746,0.25,0.4625,0.45,0.666666667,0.431331339,A,A
0.333333333,0.5,0.833333333,0.666666667,0.5,0.166666667,0,0.5,0.5,0.407407407,0.428571429,0.361702128,0.408450704,0.4375,0.3875,0.65,0.5,0.576186242,A,H
0.333333333,0.5,0.5,0.666666667,0.5,0.333333333,0,0.5,0.666666667,0.37037037,0.428571429,0.329787234,0.338028169,0.421875,0.3375,0.5,0.5,0.570285345,D,H
0.333333333,0.666666667,0.833333333,0.333333333,0.666666667,0.333333333,0.333333333,0.166666667,0.333333333,0.444444444,0.714285714,0.404255319,0.464788732,0.359375,0.375,0.45,0.5,0.377253254,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.444444444,0.714285714,0.510638298,0.478873239,0.5625,0.55,0.65,0.666666667,0.536819982,D,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.518518519,0.571428571,0.712765957,0.718309859,0.65625,0.2375,0.45,0.5,0.608843262,H,H
0.333333333,0.5,0.5,0.666666667,0.666666667,0.833333333,0,0.333333333,0.166666667,0.37037037,0.428571429,0.5,0.492957746,0.53125,0.575,0.3,0.5,0.511923046,D,H
0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.666666667,0.5,0.481481481,0.428571429,0.404255319,0.521126761,0.390625,0.55,0.65,0.5,0.501414599,A,A
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.444444444,0.428571429,0.234042553,0.253521127,0.34375,0.4375,0.5,0.5,0.491471991,H,H
0.5,0.5,0.666666667,0.5,0.5,0.5,0,0.5,0.333333333,0.296296296,0.214285714,0.223404255,0.281690141,0.359375,0.425,0.45,0.333333333,0.507234662,H,A
0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.333333333,0.5,0.666666667,0.481481481,0.428571429,0.468085106,0.507042254,0.28125,0.4875,0.45,0.666666667,0.506264651,H,A
0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0.444444444,0.5,0.404255319,0.394366197,0.265625,0.4125,0.6,0.333333333,0.597283971,H,H
0.333333333,0.333333333,0.5,0.333333333,0.833333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.357142857,0.489361702,0.478873239,0.390625,0.3375,0.5,0.5,0.455824105,A,H
0.666666667,0.833333333,0.833333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0.333333333,0.518518519,0.571428571,0.393617021,0.492957746,0.328125,0.475,0.45,0.5,0.571740361,D,H
0.333333333,0.333333333,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.666666667,0.5,0.444444444,0.357142857,0.776595745,0.647887324,0.625,0.325,0.4,0.5,0.450812384,H,H
0.666666667,0.5,0.5,0.333333333,0.5,0.333333333,0,0.5,0.666666667,0.407407407,0.5,0.574468085,0.492957746,0.734375,0.325,0.25,0.5,0.549672621,D,H
0.5,0.833333333,0.833333333,0.5,0.333333333,0.333333333,0,0.333333333,0.333333333,0.62962963,0.642857143,0.659574468,0.676056338,0.671875,0.3,0.3,0.5,0.572225366,H,H
0.666666667,0.333333333,0.5,0.333333333,0.5,0.5,0,0.666666667,0.5,0.481481481,0.5,0.234042553,0.394366197,0.515625,0.4125,0.35,0.5,0.397623474,D,A
0.666666667,0.5,0.666666667,0.333333333,0.333333333,0.333333333,0,0.666666667,0.5,0.592592593,0.714285714,0.574468085,0.478873239,0.453125,0.4,0.55,0.666666667,0.619755881,H,H
0.333333333,0.5,0.5,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.5,0.37037037,0.285714286,0.531914894,0.394366197,0.46875,0.3125,0.65,0.666666667,0.474900978,H,H
0.5,0.5,0.333333333,0.5,0.666666667,0.5,0,0.333333333,0.666666667,0.555555556,0.642857143,0.585106383,0.563380282,0.453125,0.3875,0.6,0.666666667,0.502142107,A,H
0.333333333,0.5,0.833333333,0.333333333,0.5,0.166666667,0.333333333,0.5,0.5,0.481481481,0.428571429,0.70212766,0.746478873,0.515625,0.5125,0.3,0.333333333,0.512812222,H,H
